artist and title,wks,t10,pk,x?,PkStreams,total,artist name,song name,lyrics
The Weeknd - Blinding Lights,347,64,1,(x13),52375259,5441240333,The Weeknd,Blinding Lights,"Yeah I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby I look around and Sin City's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust (Hey, hey, hey) I'm running out of time 'Cause I can see the sun light up the sky So I hit the road in overdrive, baby, oh The city's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust I'm just walking by to let you know (by to let you know) I can never say it on the phone (say it on the phone) Will never let you go this time (ooh) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch (Hey, hey, hey) (Hey, hey, hey) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch"
Ed Sheeran - Shape of You,424,34,1,(x14),64217796,4470842634,Ed Sheeran,Shape of You,"The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast, and then we talk slow You come over and start up a conversation with just me And trust me, I'll give it a chance now Take my hand, stop, put ""Van the Man"" on the jukebox And then we start to dance And now I'm singing like Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of you One week in we let the story begin We're going out on our first date (mm-mm) But you and me are thrifty, so go all-you-can-eat Fill up your bag, and I fill up a plate (mm-mm) We talk for hours and hours about the sweet and the sour And how your family is doing okay (mm-mm) And leave and get in a taxi, then kiss in the back seat Tell the driver make the radio play And I'm singing like Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Oh I, oh I, oh I, oh I Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of you Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand new Oh, I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on (I'm in love with your body) Come on, be my baby, come on Come on, be my baby, come on (oh, I'm in love with your body) Come on, be my baby, come on Come on, be my baby, come on (I'm in love with your body) Every day discovering something brand new I'm in love with the shape of you"
Harry Styles - As It Was,218,60,1,(x11),78460903,4417264164,Harry Styles,As It Was,"﻿ As It Was - Harry Styles Come on Harry we wanna say ""Goodnight"" to you Holding me back Gravity's holding me back I want you to hold out the palm of your hand Why don't we leave it at that? Nothing to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay, oh-oh-oh In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same Answer the phone ""Harry you're no good alone Why are you sitting at home on the floor What kind of pills are you on?"" Ringing the bell And nobody's coming to help Your daddy lives by himself He just wants to know that you're well, oh-oh-oh In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same Go home, get ahead, light-speed internet I don't wanna talk about the way that it was Leave America, two kids follow her I don't wanna talk about who's doin' it first (Hey) As it was You know it's not the same as it was As it was, as it was"
The Neighbourhood - Sweater Weather,333,,16,,21624450,4142643719,The Neighbourhood,Sweater Weather,"And all I am is a man I want the world in my hands I hate the beach but I stand In California with my toes in the sand Use the sleeves of my sweater Let's have an adventure Head in the clouds but my gravity's centered Touch my neck and I'll touch yours You in those little high-waisted shorts, oh She knows what I think about And what I think about One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no 'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater And if I may just take your breath away I don't mind if there's not much to say Sometimes the silence guides our minds So move to a place so far away The goosebumps start to raise The minute that my left hand meets your waist And then I watch your face Put my finger on your tongue 'Cause you love to taste, yeah These hearts adore Everyone the other beats hardest for Inside this place is warm Outside it starts to pour Coming down One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no, no, no 'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater 'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater, whoa Whoa, whoa, whoa Whoa, whoa, whoa Whoa, whoa Whoa, whoa, whoa Whoa, whoa 'Cause it's too cold For you here and now So let me hold Both your hands in the holes of my sweater It's too cold For you here and now Let me hold Both your hands in the holes of my sweater And it's too cold It's too cold The holes of my sweater"
Lewis Capaldi - Someone You Loved,343,15,4,,24962682,3933581891,Lewis Capaldi,Someone You Loved,"I'm going under and this time I fear there's no one to save me This all or nothing really got a way of driving me crazy I need somebody to heal, somebody to know Somebody to have, somebody to hold It's easy to say, but it's never the same I guess I kinda liked the way you numbed all the pain Now the day bleeds into nightfall And you're not here to get me through it all I let my guard down, and then you pulled the rug I was getting kinda used to being someone you loved I'm going under and this time I fear there's no one to turn to This all or nothing way of loving got me sleeping without you Now, I need somebody to know, somebody to heal Somebody to have, just to know how it feels It's easy to say, but it's never the same I guess I kinda liked the way you helped me escape Now the day bleeds into nightfall And you're not here to get me through it all I let my guard down, and then you pulled the rug I was getting kinda used to being someone you loved And I tend to close my eyes when it hurts sometimes I fall into your arms I'll be safe in your sound 'til I come back around For now the day bleeds into nightfall And you're not here to get me through it all I let my guard down, and then you pulled the rug I was getting kinda used to being someone you loved But now the day bleeds into nightfall And you're not here to get me through it all I let my guard down, and then you pulled the rug I was getting kinda used to being someone you loved I let my guard down, and then you pulled the rug I was getting kinda used to being someone you loved"
The Weeknd - Starboy,317,21,1,(x6),35360281,3857210959,The Weeknd,Starboy,"I'm tryna put you in the worst mood, ah P1 cleaner than your church shoes, ah Milli' point two just to hurt you, ah All red Lamb' just to tease you, ah None of these toys on lease too, ah Made your whole year in a week too, yeah Main bitch outta your league too, ah Side bitch out of your league too, ah House so empty, need a centerpiece 20 racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talking money, need a hearing aid You talking 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain Look what you've done I'm a motherfucking starboy Look what you've done I'm a motherfucking starboy Every day a nigga try to test me, ah Every day a nigga try to end me, ah Pull off in that Roadster SV, ah Pockets overweight, getting hefty, ah Coming for the king, that's a far cry, I I come alive in the fall time, I The competition, I don't really listen I'm in the blue Mulsanne bumping New Edition House so empty, need a centerpiece 20 racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talking money, need a hearing aid You talking 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain Look what you've done I'm a motherfucking starboy Look what you've done I'm a motherfucking starboy Let a nigga brag Pitt Legend of the fall, took the year like a bandit Bought mama a crib and a brand-new wagon Now she hit the grocery shop looking lavish Star Trek roof in that Wraith of Khan Girls get loose when they hear this song A hundred on the dash, get me close to God We don't pray for love, we just pray for cars House so empty, need a centerpiece 20 racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talking money, need a hearing aid You talking 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain Look what you've done I'm a motherfucking starboy Look what you've done I'm a motherfucking starboy Look what you've done I'm a motherfucking starboy Look what you've done I'm a motherfucking starboy"
Billie Eilish - BIRDS OF A FEATHER,114,71,1,(x3),66726270,3821072735,Billie Eilish,BIRDS OF A FEATHER,"I want you to stay 'Til I'm in the grave 'Til I rot away, dead and buried 'Til I'm in the casket you carry If you go, I'm goin' too, uh 'Cause it was always you (Alright) And if I'm turnin' blue, please don't save me Nothin' left to lose without my baby Birds of a feather, we should stick together, I know I said I'd never think I wasn't better alone Can't change the weather, might not be forever But if it's forever, it's even better And I don't know what I'm cryin' for I don't think I could love you more It might not be long, but baby, I I'll love you 'til the day that I die 'Til the day that I die 'Til the light leaves my eyes 'Til the day that I die I want you to see, hmm How you look to me, hmm You wouldn't believe if I told ya You would keep the compliments I throw ya But you're so full of shit, uh Tell me it's a bit, oh Say you don't see it, your mind's polluted Say you wanna quit, don't be stupid And I don't know what I'm cryin' for I don't think I could love you more Might not be long, but baby, I Don't wanna say goodbye Birds of a feather, we should stick together, I know ('Til the day that I die) I said I'd never think I wasn't better alone ('Til the light leaves my eyes) Can't change the weather, might not be forever ('Til the day that I die) But if it's forever, it's even better I knew you in another life You had that same look in your eyes I love you, don't act so surprised"
Lady Gaga - Die With A Smile,101,61,1,(x30),78624101,3797546382,Lady Gaga,Die With A Smile,"Ooh, ooh I, I just woke up from a dream But you and I had to say goodbye And I don't know what it all means But since I survived, I realized Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you (Ooh, ooh) Oh-ooh, lost, lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only one worth fighting for Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you Right next to you Next to you Right next to you Oh-oh, oh If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you If the world was ending, I'd wanna be next to you Ooh, ooh I'd wanna be next to you"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,346,31,1,(x2),34579416,3793341693,Post Malone,Sunflower,"Ayy, ayy, ayy, ayy (ooh) Ooh, ooh, ooh, oooh (ooh) Ayy, ayy Ooh, ooh, ooh, oooh Needless to say, I keep her in check She was all bad-bad, nevertheless (yeah) Callin' it quits now, baby, I'm a wreck (wreck) Crash at my place, baby, you're a wreck (wreck) Needless to say, I'm keeping her in check She was all bad-bad, nevertheless Callin' it quits now, baby, I'm a wreck Crash at my place, baby, you're a wreck Thinkin' in a bad way, losin' your grip Screamin' at my face, baby, don't trip Someone took a big L, don't know how that felt Lookin' at you sideways, party on tilt Ooh-ooh, some things you just can't refuse She wanna ride me like a cruise And I'm not tryna lose Then you're left in the dust Unless I stuck by ya You're the sunflower I think your love would be too much Or you'll be left in the dust Unless I stuck by ya You're the sunflower You're the sunflower Every time I'm leavin' on ya You don't make it easy, no, no Wish I could be there for ya Give me a reason to go Every time I'm walkin' out I can hear you tellin' me to turn around Fightin' for my trust and you won't back down Even if we gotta risk it all right now, oh I know you're scared of the unknown (known) You don't wanna be alone (alone) I know I always come and go (and go) But it's out of my control And you'll be left in the dust Unless I stuck by ya You're the sunflower I think your love would be too much Or you'll be left in the dust Unless I stuck by ya You're the sunflower You're the sunflower Yeah"
Ed Sheeran - Perfect,457,15,4,,24763619,3730229095,Ed Sheeran,Perfect,"I found a love, for me Darling, just dive right in and follow my lead Well, I found a girl, beautiful and sweet Oh, I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling, just kiss me slow Your heart is all I own And in your eyes, you're holding mine Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favourite song When you said you looked a mess I whispered underneath my breath But you heard it Darling, you look perfect tonight Well, I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a lover, to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song When I saw you in that dress, looking so beautiful I don't deserve this Darling, you look perfect tonight (No, no, no) Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"
